question,ground_truth_answer,source_url,app,difficulty,category
"What is WhatsApp's View Once feature?","View Once is a privacy feature that allows you to send photos and videos that can only be opened and viewed one time by the recipient. After the recipient opens the media, it disappears from the chat. The sender receives a notification that it was opened. Screenshots may still be possible on some devices.","https://faq.whatsapp.com/general/chats/view-once","whatsapp","easy","features"
"How do I create a WhatsApp group with more than 256 participants?","Standard WhatsApp groups support up to 1024 participants as of recent updates. To create a group, tap New Chat > New Group, add participants, set a group name, and tap the checkmark. For larger communities, WhatsApp Communities allow groups of up to 5000 members with sub-groups.","https://faq.whatsapp.com/general/chats/how-to-create-a-group","whatsapp","medium","features"
"How can I recover deleted WhatsApp messages?","WhatsApp automatically backs up chats daily to Google Drive (Android) or iCloud (iPhone). To restore deleted messages, uninstall and reinstall WhatsApp, verify your phone number, and when prompted, tap Restore to recover your chat history from the most recent backup. Local backups are also stored on your device.","https://faq.whatsapp.com/android/chats/how-to-restore-your-chat-history","whatsapp","medium","data"
"How do I mute a WhatsApp contact or group?","To mute a contact or group, open the chat and tap the contact or group name at the top. Scroll down and tap Mute Notifications. Choose the duration: 8 hours, 1 week, or Always. Muted chats still receive messages but will not show notifications. You can unmute at any time the same way.","https://faq.whatsapp.com/general/chats/how-to-mute-a-contact-or-group","whatsapp","easy","settings"
"What is WhatsApp's two-step verification and how do I enable it?","Two-step verification adds a PIN requirement when registering your phone number on WhatsApp, providing extra security against unauthorized access. To enable it, go to Settings > Account > Two-step verification > Enable. Create a 6-digit PIN and optionally add an email address for PIN recovery.","https://faq.whatsapp.com/general/security-and-privacy/two-step-verification","whatsapp","easy","security"
"How does WhatsApp decide the order of status viewers?","WhatsApp does not publicly disclose the exact algorithm for ordering status viewers. The order is not strictly chronological and may factor in your interaction frequency with contacts, who viewed it most recently, and other engagement signals. The list is private and only visible to you.","https://faq.whatsapp.com/general/status/about-status","whatsapp","hard","features"
"Can I use WhatsApp without saving a contact's phone number?","Yes, you can message someone on WhatsApp without saving their number using a direct link. Open a browser and go to wa.me/[phonenumber] including the country code, then tap Send Message. WhatsApp Business also allows customers to initiate chats without saving the business number.","https://faq.whatsapp.com/general/chats/how-to-use-click-to-chat","whatsapp","medium","features"
"How do WhatsApp message backups work on Android?","WhatsApp automatically backs up your chats and media to Google Drive using your Google account. Backups occur daily at a time you specify, or you can trigger a manual backup in Settings > Chats > Chat Backup > Back Up. Backups in Google Drive do not count toward your Google storage quota.","https://faq.whatsapp.com/android/chats/how-to-back-up-to-google-drive","whatsapp","medium","data"
"How do I create a Telegram channel?","To create a channel in Telegram, tap the compose button (pencil icon), then select New Channel. Give your channel a name and optional description. Choose whether it will be Public (anyone can find and join it with a link) or Private (invite-only with a link). You can then add initial subscribers.","https://telegram.org/faq#q-how-do-i-create-a-channel","telegram","easy","features"
"What is the difference between Telegram groups and channels?","Telegram groups are for two-way communication where all members can send messages, with a limit of 200,000 members. Channels are broadcast tools where only admins can post, visible to unlimited subscribers. Groups support voice chats and polls, while channels focus on distributing content to large audiences.","https://telegram.org/faq#q-what-is-the-difference-between-groups-and-channels","telegram","medium","features"
"How does Telegram's Secret Chat differ from regular chats?","Secret Chats use end-to-end encryption, meaning only the two participants can read the messages. Regular chats use client-server encryption and are stored on Telegram's cloud servers. Secret Chats support self-destruct timers, cannot be forwarded, and are device-specific — they cannot be accessed from other devices.","https://telegram.org/faq#secret-chats","telegram","medium","security"
"What is Telegram's file size limit for sending files?","Telegram allows sending files up to 2 GB in size, which is significantly larger than most competing messaging apps. This applies to all file types including documents, videos, and archives. Premium users can send files up to 4 GB. Files can be streamed directly without downloading for supported formats.","https://telegram.org/faq#q-how-large-can-files-be","telegram","easy","features"
"How do I set a self-destruct timer in Telegram Secret Chat?","In a Secret Chat, tap the clock icon at the top right of the chat or tap the three dots menu and select Set Self-Destruct Timer. Choose from options ranging from 1 second to 1 week. After you set the timer, messages will automatically delete for both parties after the specified time once they are read.","https://telegram.org/faq#q-how-do-self-destructing-messages-work","telegram","medium","features"
"Can Telegram bots access my private messages?","Telegram bots can only read messages that are explicitly sent to them or in groups where they are members and set to read all messages. Bots cannot access your private chats or message history. In groups, you can restrict bot access. Telegram's Bot API requires developer interaction — bots cannot initiate conversations.","https://telegram.org/faq#bots","telegram","hard","security"
"How do I report spam or abuse on Telegram?","To report a message, long-press it and tap Report. To report a user, open their profile and tap the three dots menu, then Report. You can report channels and bots similarly from their profile. Telegram reviews reports and can ban accounts, delete content, or restrict channels that violate its terms.","https://telegram.org/faq#q-how-do-i-report-illegal-content-on-telegram","telegram","easy","safety"
"What is Telegram Premium and what does it offer?","Telegram Premium is a paid subscription that unlocks additional features including sending files up to 4 GB, faster download speeds, exclusive stickers and reactions, the ability to follow up to 1000 channels, a profile badge, voice-to-text conversion for voice messages, and no sponsored messages in public channels.","https://telegram.org/faq#telegram-premium","telegram","easy","plans"
"How does Telegram handle user data and privacy?","Telegram stores messages on its cloud servers encrypted with its MTProto protocol. Secret Chats are end-to-end encrypted and not stored on servers. Telegram states it does not share user data with third parties or governments unless required by a valid court order. User phone numbers are not publicly visible by default.","https://telegram.org/privacy","telegram","hard","security"
"How can I use Telegram without revealing my phone number?","Telegram requires a phone number for registration, but you can hide it from other users. Go to Settings > Privacy and Security > Phone Number and set visibility to Nobody or My Contacts. You can also create a username so people can find and message you using @username instead of your phone number.","https://telegram.org/faq#q-who-can-see-my-phone-number","telegram","medium","privacy"
"How do Telegram's voice chats in groups work?","Group voice chats allow all group members to join a live audio conversation. Admins can start a voice chat from the group's profile. Members can raise their hand to request speaking permission. Admins can mute or remove participants. Voice chats remain active even when no admin is present and support unlimited listeners.","https://telegram.org/faq#voice-chats","telegram","medium","features"
